Township_Name,Township_Code,Latitude,Longitude,Area_km2
Okpho,MMR008010,18.16454718588833,95.84134761869352,1050.8244224124196
Thayarwady,MMR008007,17.69183540917977,95.83289896609809,1039.6910748129098
Kyaikmaraw,MMR011002,16.32090898385121,97.8761811128029,1317.5573845778176
Mawlamyine,MMR011001,16.477208432155937,97.65390328710706,156.4811364231019
Mudon,MMR011005,16.152555628746004,97.71865080031648,740.4754381044856
Zigon,MMR008011,18.34535280167501,95.66340365944862,256.1279050533084
Falam,MMR004001,23.017971742426127,93.67412746399634,2665.21470839578
Tedim,MMR004004,23.372451393945344,93.71413222320912,2407.9906473151905
Tonzang,MMR004005,23.764754764003897,93.74685548639027,3471.288678718188
Hakha,MMR004002,22.45375665861629,93.76929877188536,4277.900924343237
Thantlang,MMR004003,22.584447827845203,93.30880713310457,3449.0174514277314
